Component,Eigenvalue,ExplainedVariance,CumulativeVariance
19,12.9422,0.0273519,0.582956
19,10.425,0.0220322,0.604988
19,10.1398,0.0214294,0.626418
19,9.4428,0.0199564,0.646374
19,8.78415,0.0185644,0.664938
19,8.20572,0.0173419,0.68228
19,7.45581,0.0157571,0.698037
19,6.53969,0.013821,0.711858
19,6.46997,0.0136736,0.725532
19,6.02989,0.0127436,0.738275
19,5.79834,0.0122542,0.75053
20,68.9735,0.145768,0.145768
20,48.3839,0.102254,0.248023
20,38.3851,0.0811229,0.329146
20,32.8493,0.0694235,0.398569
20,25.9067,0.0547512,0.45332
20,18.3714,0.038826,0.492146
20,16.3101,0.0344698,0.526616
20,13.7162,0.0289878,0.555604
20,12.9422,0.0273519,0.582956
20,10.425,0.0220322,0.604988
20,10.1398,0.0214294,0.626418
20,9.4428,0.0199564,0.646374
20,8.78415,0.0185644,0.664938
20,8.20572,0.0173419,0.68228
20,7.45581,0.0157571,0.698037
20,6.53969,0.013821,0.711858
20,6.46997,0.0136736,0.725532
20,6.02989,0.0127436,0.738275
20,5.79834,0.0122542,0.75053
20,4.72617,0.00998828,0.760518
21,68.9735,0.145768,0.145768
21,48.3839,0.102254,0.248023
21,38.3851,0.0811229,0.329146
21,32.8493,0.0694235,0.398569
21,25.9067,0.0547512,0.45332
21,18.3714,0.038826,0.492146
21,16.3101,0.0344698,0.526616
21,13.7162,0.0289878,0.555604
21,12.9422,0.0273519,0.582956
21,10.425,0.0220322,0.604988
21,10.1398,0.0214294,0.626418
21,9.4428,0.0199564,0.646374
21,8.78415,0.0185644,0.664938
21,8.20572,0.0173419,0.68228
21,7.45581,0.0157571,0.698037
21,6.53969,0.013821,0.711858
21,6.46997,0.0136736,0.725532
21,6.02989,0.0127436,0.738275
21,5.79834,0.0122542,0.75053
21,4.72617,0.00998828,0.760518
21,4.4378,0.00937883,0.769897
22,68.9735,0.145768,0.145768
22,48.3839,0.102254,0.248023
22,38.3851,0.0811229,0.329146
22,32.8493,0.0694235,0.398569
22,25.9067,0.0547512,0.45332
22,18.3714,0.038826,0.492146
22,16.3101,0.0344698,0.526616
22,13.7162,0.0289878,0.555604
22,12.9422,0.0273519,0.582956
22,10.425,0.0220322,0.604988
22,10.1398,0.0214294,0.626418
22,9.4428,0.0199564,0.646374
22,8.78415,0.0185644,0.664938
22,8.20572,0.0173419,0.68228
22,7.45581,0.0157571,0.698037
22,6.53969,0.013821,0.711858
22,6.46997,0.0136736,0.725532
22,6.02989,0.0127436,0.738275
22,5.79834,0.0122542,0.75053
22,4.72617,0.00998828,0.760518
22,4.4378,0.00937883,0.769897
22,4.23813,0.00895686,0.778854
23,68.9735,0.145768,0.145768
23,48.3839,0.102254,0.248023
23,38.3851,0.0811229,0.329146
23,32.8493,0.0694235,0.398569
23,25.9067,0.0547512,0.45332
23,18.3714,0.038826,0.492146
23,16.3101,0.0344698,0.526616
23,13.7162,0.0289878,0.555604
23,12.9422,0.0273519,0.582956
23,10.425,0.0220322,0.604988
23,10.1398,0.0214294,0.626418
23,9.4428,0.0199564,0.646374
23,8.78415,0.0185644,0.664938
23,8.20572,0.0173419,0.68228
23,7.45581,0.0157571,0.698037
23,6.53969,0.013821,0.711858
23,6.46997,0.0136736,0.725532
23,6.02989,0.0127436,0.738275
23,5.79834,0.0122542,0.75053
23,4.72617,0.00998828,0.760518
23,4.4378,0.00937883,0.769897
23,4.23813,0.00895686,0.778854
23,3.93646,0.00831929,0.787173
24,68.9735,0.145768,0.145768
24,48.3839,0.102254,0.248023
24,38.3851,0.0811229,0.329146
24,32.8493,0.0694235,0.398569
24,25.9067,0.0547512,0.45332
24,18.3714,0.038826,0.492146
24,16.3101,0.0344698,0.526616
24,13.7162,0.0289878,0.555604
24,12.9422,0.0273519,0.582956
24,10.425,0.0220322,0.604988
24,10.1398,0.0214294,0.626418
24,9.4428,0.0199564,0.646374
24,8.78415,0.0185644,0.664938
24,8.20572,0.0173419,0.68228
24,7.45581,0.0157571,0.698037
24,6.53969,0.013821,0.711858
24,6.46997,0.0136736,0.725532
24,6.02989,0.0127436,0.738275
24,5.79834,0.0122542,0.75053
24,4.72617,0.00998828,0.760518
24,4.4378,0.00937883,0.769897
24,4.23813,0.00895686,0.778854
24,3.93646,0.00831929,0.787173
24,3.86972,0.00817825,0.795351
25,68.9735,0.145768,0.145768
25,48.3839,0.102254,0.248023
25,38.3851,0.0811229,0.329146
25,32.8493,0.0694235,0.398569
25,25.9067,0.0547512,0.45332
25,18.3714,0.038826,0.492146
25,16.3101,0.0344698,0.526616
25,13.7162,0.0289878,0.555604
25,12.9422,0.0273519,0.582956
25,10.425,0.0220322,0.604988
25,10.1398,0.0214294,0.626418
25,9.4428,0.0199564,0.646374
25,8.78415,0.0185644,0.664938
25,8.20572,0.0173419,0.68228
25,7.45581,0.0157571,0.698037
25,6.53969,0.013821,0.711858
25,6.46997,0.0136736,0.725532
25,6.02989,0.0127436,0.738275
25,5.79834,0.0122542,0.75053
25,4.72617,0.00998828,0.760518
25,4.4378,0.00937883,0.769897
25,4.23813,0.00895686,0.778854
25,3.93646,0.00831929,0.787173
25,3.86972,0.00817825,0.795351
25,3.57162,0.00754826,0.802899
26,68.9735,0.145768,0.145768
26,48.3839,0.102254,0.248023
26,38.3851,0.0811229,0.329146
26,32.8493,0.0694235,0.398569
26,25.9067,0.0547512,0.45332
26,18.3714,0.038826,0.492146
26,16.3101,0.0344698,0.526616
26,13.7162,0.0289878,0.555604
26,12.9422,0.0273519,0.582956
26,10.425,0.0220322,0.604988
26,10.1398,0.0214294,0.626418
26,9.4428,0.0199564,0.646374
26,8.78415,0.0185644,0.664938
26,8.20572,0.0173419,0.68228
26,7.45581,0.0157571,0.698037
26,6.53969,0.013821,0.711858
26,6.46997,0.0136736,0.725532
26,6.02989,0.0127436,0.738275
26,5.79834,0.0122542,0.75053
26,4.72617,0.00998828,0.760518
26,4.4378,0.00937883,0.769897
26,4.23813,0.00895686,0.778854
26,3.93646,0.00831929,0.787173
26,3.86972,0.00817825,0.795351
26,3.57162,0.00754826,0.802899
26,3.34735,0.00707429,0.809974
27,68.9735,0.145768,0.145768
27,48.3839,0.102254,0.248023
27,38.3851,0.0811229,0.329146
27,32.8493,0.0694235,0.398569
27,25.9067,0.0547512,0.45332
27,18.3714,0.038826,0.492146
27,16.3101,0.0344698,0.526616
27,13.7162,0.0289878,0.555604
27,12.9422,0.0273519,0.582956
27,10.425,0.0220322,0.604988
27,10.1398,0.0214294,0.626418
27,9.4428,0.0199564,0.646374
27,8.78415,0.0185644,0.664938
27,8.20572,0.0173419,0.68228
27,7.45581,0.0157571,0.698037
27,6.53969,0.013821,0.711858
27,6.46997,0.0136736,0.725532
27,6.02989,0.0127436,0.738275
27,5.79834,0.0122542,0.75053
27,4.72617,0.00998828,0.760518
27,4.4378,0.00937883,0.769897
27,4.23813,0.00895686,0.778854
27,3.93646,0.00831929,0.787173
27,3.86972,0.00817825,0.795351
27,3.57162,0.00754826,0.802899
27,3.34735,0.00707429,0.809974
27,3.14736,0.00665163,0.816625
28,68.9735,0.145768,0.145768
28,48.3839,0.102254,0.248023
28,38.3851,0.0811229,0.329146
28,32.8493,0.0694235,0.398569
28,25.9067,0.0547512,0.45332
28,18.3714,0.038826,0.492146
28,16.3101,0.0344698,0.526616
28,13.7162,0.0289878,0.555604
28,12.9422,0.0273519,0.582956
28,10.425,0.0220322,0.604988
28,10.1398,0.0214294,0.626418
28,9.4428,0.0199564,0.646374
28,8.78415,0.0185644,0.664938
28,8.20572,0.0173419,0.68228
28,7.45581,0.0157571,0.698037
28,6.53969,0.013821,0.711858
28,6.46997,0.0136736,0.725532
28,6.02989,0.0127436,0.738275
28,5.79834,0.0122542,0.75053
28,4.72617,0.00998828,0.760518
28,4.4378,0.00937883,0.769897
28,4.23813,0.00895686,0.778854
28,3.93646,0.00831929,0.787173
28,3.86972,0.00817825,0.795351
28,3.57162,0.00754826,0.802899
28,3.34735,0.00707429,0.809974
28,3.14736,0.00665163,0.816625
28,2.91189,0.00615398,0.822779
29,68.9735,0.145768,0.145768
29,48.3839,0.102254,0.248023
29,38.3851,0.0811229,0.329146
29,32.8493,0.0694235,0.398569
29,25.9067,0.0547512,0.45332
29,18.3714,0.038826,0.492146
29,16.3101,0.0344698,0.526616
29,13.7162,0.0289878,0.555604
29,12.9422,0.0273519,0.582956
29,10.425,0.0220322,0.604988
29,10.1398,0.0214294,0.626418
29,9.4428,0.0199564,0.646374
29,8.78415,0.0185644,0.664938
29,8.20572,0.0173419,0.68228
29,7.45581,0.0157571,0.698037
29,6.53969,0.013821,0.711858
29,6.46997,0.0136736,0.725532
29,6.02989,0.0127436,0.738275
29,5.79834,0.0122542,0.75053
29,4.72617,0.00998828,0.760518
29,4.4378,0.00937883,0.769897
29,4.23813,0.00895686,0.778854
29,3.93646,0.00831929,0.787173
29,3.86972,0.00817825,0.795351
29,3.57162,0.00754826,0.802899
29,3.34735,0.00707429,0.809974
29,3.14736,0.00665163,0.816625
29,2.91189,0.00615398,0.822779
29,2.90322,0.00613566,0.828915
30,68.9735,0.145768,0.145768
30,48.3839,0.102254,0.248023
30,38.3851,0.0811229,0.329146
30,32.8493,0.0694235,0.398569
30,25.9067,0.0547512,0.45332
30,18.3714,0.038826,0.492146
30,16.3101,0.0344698,0.526616
30,13.7162,0.0289878,0.555604
30,12.9422,0.0273519,0.582956
30,10.425,0.0220322,0.604988
30,10.1398,0.0214294,0.626418
30,9.4428,0.0199564,0.646374
30,8.78415,0.0185644,0.664938
30,8.20572,0.0173419,0.68228
30,7.45581,0.0157571,0.698037
30,6.53969,0.013821,0.711858
30,6.46997,0.0136736,0.725532
30,6.02989,0.0127436,0.738275
30,5.79834,0.0122542,0.75053
30,4.72617,0.00998828,0.760518
30,4.4378,0.00937883,0.769897
30,4.23813,0.00895686,0.778854
30,3.93646,0.00831929,0.787173
30,3.86972,0.00817825,0.795351
30,3.57162,0.00754826,0.802899
30,3.34735,0.00707429,0.809974
30,3.14736,0.00665163,0.816625
30,2.91189,0.00615398,0.822779
30,2.90322,0.00613566,0.828915
30,2.7839,0.00588349,0.834799
31,68.9735,0.145768,0.145768
31,48.3839,0.102254,0.248023
31,38.3851,0.0811229,0.329146
31,32.8493,0.0694235,0.398569
31,25.9067,0.0547512,0.45332
31,18.3714,0.038826,0.492146
31,16.3101,0.0344698,0.526616
31,13.7162,0.0289878,0.555604
31,12.9422,0.0273519,0.582956
31,10.425,0.0220322,0.604988
31,10.1398,0.0214294,0.626418
31,9.4428,0.0199564,0.646374
31,8.78415,0.0185644,0.664938
31,8.20572,0.0173419,0.68228
31,7.45581,0.0157571,0.698037
31,6.53969,0.013821,0.711858
31,6.46997,0.0136736,0.725532
31,6.02989,0.0127436,0.738275
31,5.79834,0.0122542,0.75053
31,4.72617,0.00998828,0.760518
31,4.4378,0.00937883,0.769897
31,4.23813,0.00895686,0.778854
31,3.93646,0.00831929,0.787173
31,3.86972,0.00817825,0.795351
31,3.57162,0.00754826,0.802899
31,3.34735,0.00707429,0.809974
31,3.14736,0.00665163,0.816625
31,2.91189,0.00615398,0.822779
31,2.90322,0.00613566,0.828915
31,2.7839,0.00588349,0.834799
31,2.75014,0.00581214,0.840611
32,68.9735,0.145768,0.145768
32,48.3839,0.102254,0.248023
32,38.3851,0.0811229,0.329146
32,32.8493,0.0694235,0.398569
32,25.9067,0.0547512,0.45332
32,18.3714,0.038826,0.492146
32,16.3101,0.0344698,0.526616
32,13.7162,0.0289878,0.555604
32,12.9422,0.0273519,0.582956
32,10.425,0.0220322,0.604988
32,10.1398,0.0214294,0.626418
32,9.4428,0.0199564,0.646374
32,8.78415,0.0185644,0.664938
32,8.20572,0.0173419,0.68228
32,7.45581,0.0157571,0.698037
32,6.53969,0.013821,0.711858
32,6.46997,0.0136736,0.725532
32,6.02989,0.0127436,0.738275
32,5.79834,0.0122542,0.75053
32,4.72617,0.00998828,0.760518
32,4.4378,0.00937883,0.769897
32,4.23813,0.00895686,0.778854
32,3.93646,0.00831929,0.787173
32,3.86972,0.00817825,0.795351
32,3.57162,0.00754826,0.802899
32,3.34735,0.00707429,0.809974
32,3.14736,0.00665163,0.816625
32,2.91189,0.00615398,0.822779
32,2.90322,0.00613566,0.828915
32,2.7839,0.00588349,0.834799
32,2.75014,0.00581214,0.840611
32,2.54082,0.00536977,0.84598
33,68.9735,0.145768,0.145768
33,48.3839,0.102254,0.248023
33,38.3851,0.0811229,0.329146
33,32.8493,0.0694235,0.398569
33,25.9067,0.0547512,0.45332
33,18.3714,0.038826,0.492146
33,16.3101,0.0344698,0.526616
33,13.7162,0.0289878,0.555604
33,12.9422,0.0273519,0.582956
33,10.425,0.0220322,0.604988
33,10.1398,0.0214294,0.626418
33,9.4428,0.0199564,0.646374
33,8.78415,0.0185644,0.664938
33,8.20572,0.0173419,0.68228
33,7.45581,0.0157571,0.698037
33,6.53969,0.013821,0.711858
33,6.46997,0.0136736,0.725532
33,6.02989,0.0127436,0.738275
33,5.79834,0.0122542,0.75053
33,4.72617,0.00998828,0.760518
33,4.4378,0.00937883,0.769897
33,4.23813,0.00895686,0.778854
33,3.93646,0.00831929,0.787173
33,3.86972,0.00817825,0.795351
33,3.57162,0.00754826,0.802899
33,3.34735,0.00707429,0.809974
33,3.14736,0.00665163,0.816625
33,2.91189,0.00615398,0.822779
33,2.90322,0.00613566,0.828915
33,2.7839,0.00588349,0.834799
33,2.75014,0.00581214,0.840611
33,2.54082,0.00536977,0.84598
33,2.35416,0.00497527,0.850956
34,68.9735,0.145768,0.145768
34,48.3839,0.102254,0.248023
34,38.3851,0.0811229,0.329146
34,32.8493,0.0694235,0.398569
34,25.9067,0.0547512,0.45332
34,18.3714,0.038826,0.492146
34,16.3101,0.0344698,0.526616
34,13.7162,0.0289878,0.555604
34,12.9422,0.0273519,0.582956
34,10.425,0.0220322,0.604988
34,10.1398,0.0214294,0.626418
34,9.4428,0.0199564,0.646374
34,8.78415,0.0185644,0.664938
34,8.20572,0.0173419,0.68228
34,7.45581,0.0157571,0.698037
34,6.53969,0.013821,0.711858
34,6.46997,0.0136736,0.725532
34,6.02989,0.0127436,0.738275
34,5.79834,0.0122542,0.75053
34,4.72617,0.00998828,0.760518
34,4.4378,0.00937883,0.769897
34,4.23813,0.00895686,0.778854
34,3.93646,0.00831929,0.787173
34,3.86972,0.00817825,0.795351
34,3.57162,0.00754826,0.802899
34,3.34735,0.00707429,0.809974
34,3.14736,0.00665163,0.816625
34,2.91189,0.00615398,0.822779
34,2.90322,0.00613566,0.828915
34,2.7839,0.00588349,0.834799
34,2.75014,0.00581214,0.840611
34,2.54082,0.00536977,0.84598
34,2.35416,0.00497527,0.850956
34,2.21914,0.00468993,0.855646
35,68.9735,0.145768,0.145768
35,48.3839,0.102254,0.248023
35,38.3851,0.0811229,0.329146
35,32.8493,0.0694235,0.398569
35,25.9067,0.0547512,0.45332
35,18.3714,0.038826,0.492146
35,16.3101,0.0344698,0.526616
35,13.7162,0.0289878,0.555604
35,12.9422,0.0273519,0.582956
35,10.425,0.0220322,0.604988
35,10.1398,0.0214294,0.626418
35,9.4428,0.0199564,0.646374
35,8.78415,0.0185644,0.664938
35,8.20572,0.0173419,0.68228
35,7.45581,0.0157571,0.698037
35,6.53969,0.013821,0.711858
35,6.46997,0.0136736,0.725532
35,6.02989,0.0127436,0.738275
35,5.79834,0.0122542,0.75053
35,4.72617,0.00998828,0.760518
35,4.4378,0.00937883,0.769897
35,4.23813,0.00895686,0.778854
35,3.93646,0.00831929,0.787173
35,3.86972,0.00817825,0.795351
35,3.57162,0.00754826,0.802899
35,3.34735,0.00707429,0.809974
35,3.14736,0.00665163,0.816625
35,2.91189,0.00615398,0.822779
35,2.90322,0.00613566,0.828915
35,2.7839,0.00588349,0.834799
35,2.75014,0.00581214,0.840611
35,2.54082,0.00536977,0.84598
35,2.35416,0.00497527,0.850956
35,2.21914,0.00468993,0.855646
35,2.14369,0.00453046,0.860176
36,68.9735,0.145768,0.145768
36,48.3839,0.102254,0.248023
36,38.3851,0.0811229,0.329146
36,32.8493,0.0694235,0.398569
36,25.9067,0.0547512,0.45332
36,18.3714,0.038826,0.492146
36,16.3101,0.0344698,0.526616
36,13.7162,0.0289878,0.555604
36,12.9422,0.0273519,0.582956
36,10.425,0.0220322,0.604988
36,10.1398,0.0214294,0.626418
36,9.4428,0.0199564,0.646374
36,8.78415,0.0185644,0.664938
36,8.20572,0.0173419,0.68228
36,7.45581,0.0157571,0.698037
36,6.53969,0.013821,0.711858
36,6.46997,0.0136736,0.725532
36,6.02989,0.0127436,0.738275
36,5.79834,0.0122542,0.75053
36,4.72617,0.00998828,0.760518
36,4.4378,0.00937883,0.769897
36,4.23813,0.00895686,0.778854
36,3.93646,0.00831929,0.787173
36,3.86972,0.00817825,0.795351
36,3.57162,0.00754826,0.802899
36,3.34735,0.00707429,0.809974
36,3.14736,0.00665163,0.816625
36,2.91189,0.00615398,0.822779
36,2.90322,0.00613566,0.828915
36,2.7839,0.00588349,0.834799
36,2.75014,0.00581214,0.840611
36,2.54082,0.00536977,0.84598
36,2.35416,0.00497527,0.850956
36,2.21914,0.00468993,0.855646
36,2.14369,0.00453046,0.860176
36,2.0561,0.00434536,0.864521
37,68.9735,0.145768,0.145768
37,48.3839,0.102254,0.248023
37,38.3851,0.0811229,0.329146
37,32.8493,0.0694235,0.398569
37,25.9067,0.0547512,0.45332
37,18.3714,0.038826,0.492146
37,16.3101,0.0344698,0.526616
37,13.7162,0.0289878,0.555604
37,12.9422,0.0273519,0.582956
37,10.425,0.0220322,0.604988
37,10.1398,0.0214294,0.626418
37,9.4428,0.0199564,0.646374
37,8.78415,0.0185644,0.664938
37,8.20572,0.0173419,0.68228
37,7.45581,0.0157571,0.698037
37,6.53969,0.013821,0.711858
37,6.46997,0.0136736,0.725532
37,6.02989,0.0127436,0.738275
37,5.79834,0.0122542,0.75053
37,4.72617,0.00998828,0.760518
37,4.4378,0.00937883,0.769897
37,4.23813,0.00895686,0.778854
37,3.93646,0.00831929,0.787173
37,3.86972,0.00817825,0.795351
37,3.57162,0.00754826,0.802899
37,3.34735,0.00707429,0.809974
